#
# format: tab-separated values
#         <feature> <name> <oid> <short name> <description>
#
# if <name> is "" then no constant will be written
#
x962	OID_KEY_TYPE_EC_PUBLIC_KEY	1.2.840.10045.2.1	id-ecPublicKey	Elliptic curve public key cryptography

pkcs1	OID_PKCS1_RSAENCRYPTION	1.2.840.113549.1.1.1	rsaEncryption	RSAES-PKCS1-v1_5 encryption scheme
pkcs1	OID_PKCS1_MD2WITHRSAENC	1.2.840.113549.1.1.2	md2WithRSAEncryption	MD2 with RSA encryption
pkcs1	OID_PKCS1_MD4WITHRSAENC	1.2.840.113549.1.1.3	md4WithRSAEncryption	MD4 with RSA encryption
pkcs1	OID_PKCS1_MD5WITHRSAENC	1.2.840.113549.1.1.4	md5WithRSAEncryption	MD5 with RSA encryption
pkcs1	OID_PKCS1_SHA1WITHRSA	1.2.840.113549.1.1.5	sha1WithRSAEncryption	SHA1 with RSA encryption

pkcs1	OID_PKCS1_RSASSAPSS	1.2.840.113549.1.1.10	rsassa-pss	RSA Signature Scheme with Probabilistic Signature Scheme (RSASSA-PSS)
pkcs1	OID_PKCS1_SHA256WITHRSA	1.2.840.113549.1.1.11	sha256WithRSAEncryption	SHA256 with RSA encryption
pkcs1	OID_PKCS1_SHA384WITHRSA	1.2.840.113549.1.1.12	sha384WithRSAEncryption	SHA384 with RSA encryption
pkcs1	OID_PKCS1_SHA512WITHRSA	1.2.840.113549.1.1.13	sha512WithRSAEncryption	SHA512 with RSA encryption
pkcs1	OID_PKCS1_SHA224WITHRSA	1.2.840.113549.1.1.14	sha224WithRSAEncryption	SHA224 with RSA encryption

pkcs7	OID_PKCS7_ID_DATA	1.2.840.113549.1.7.1	pkcs7-data	pkcs7-data
pkcs7	OID_PKCS7_ID_SIGNED_DATA	1.2.840.113549.1.7.2	pkcs7-signedData	PKCS#7 Signed Data
pkcs7	OID_PKCS7_ID_ENVELOPED_DATA	1.2.840.113549.1.7.3	pkcs7-envelopedData	PKCS#7 Enveloped Data
pkcs7	OID_PKCS7_ID_SIGNED_ENVELOPED_DATA	1.2.840.113549.1.7.4	pkcs7-signedAndEnvelopedData	PKCS#7 Signed and Enveloped Data
pkcs7	OID_PKCS7_ID_DIGESTED_DATA	1.2.840.113549.1.7.5	pkcs7-digestedData	PKCS#7 Digested Data
pkcs7	OID_PKCS7_ID_ENCRYPTED_DATA	1.2.840.113549.1.7.6	pkcs7-encryptedData	PKCS#7 Encrypted Data

pkcs9	OID_PKCS9_EMAIL_ADDRESS	1.2.840.113549.1.9.1	emailAddress	Email Address attribute for use in signatures
pkcs9	OID_PKCS9_UNSTRUCTURED_NAME	1.2.840.113549.1.9.2	unstructuredName	PKCS#9 unstructuredName
pkcs9	OID_PKCS9_CONTENT_TYPE	1.2.840.113549.1.9.3	contentType	id-contentType
pkcs9	OID_PKCS9_ID_MESSAGE_DIGEST	1.2.840.113549.1.9.4	id-messageDigest	id-messageDigest
pkcs9	OID_PKCS9_SIGNING_TIME	1.2.840.113549.1.9.5	signing-time	id-signingTime

pkcs9	OID_PKCS9_SMIME_CAPABILITIES	1.2.840.113549.1.9.15	smimeCapabilities	aa-smimeCapabilities

kdf	OID_KDF_SHA1_SINGLE	1.3.133.16.840.63.0.2	dhSinglePass-stdDH-sha1kdf-scheme	Single pass Secure Hash Algorithm 1 (SHA1) key derivation

nist-algs	OID_NIST_ENC_AES256_CBC	2.16.840.1.101.3.4.1.42	aes-256-cbc	256-bit Advanced Encryption Standard (AES) algorithm with Cipher-Block Chaining (CBC) mode of operation

nist-algs	OID_NIST_HASH_SHA256	2.16.840.1.101.3.4.2.1	sha256	Secure Hash Algorithm that uses a 256 bit key (SHA256)

ms-spc	SPC_INDIRECT_DATA_OBJID	1.3.6.1.4.1.311.2.1.4	spcIndirectData	The SPC_INDIRECT_DATA_CONTENT structure is used in Authenticode signatures to store the digest and other attributes of the signed file
ms-spc	SPC_STATEMENT_TYPE_OBJID	1.3.6.1.4.1.311.2.1.11	spcStatementType	spcStatementType
ms-spc	SPC_SP_OPUS_INFO_OBJID	1.3.6.1.4.1.311.2.1.12	spcSpOpusInfo	SpcSpOpusInfo
ms-spc	SPC_PE_IMAGE_DATA	1.3.6.1.4.1.311.2.1.15	spcPEImageData	spcPEImageData
ms-spc	SPC_INDIVIDUAL_SP_KEY_PURPOSE_OBJID 	1.3.6.1.4.1.311.2.1.21	msCodeInd	MsCodeInd (SPC_INDIVIDUAL_SP_KEY_PURPOSE_OBJID) is a ExtendedKeyUsage for Certificate Extensions which indicates Microsoft Individual Code Signing (authenticode)

ms-spc	MS_CTL	1.3.6.1.4.1.311.10.1	szOID_CTL	MS_CTL

x500	OID_X500	2.5	x500	X.500
x509	OID_X509	2.5.4	x509	X.509
x509	OID_X509_OBJECT_CLASS	2.5.4.0	objectClass	Object classes
x509	OID_X509_ALIASED_ENTRY_NAME	2.5.4.1	aliasedEntryName	Aliased entry/object name
x509	OID_X509_KNOWLEDGE_INFORMATION	2.5.4.2	knowledgeInformation	'knowledgeInformation' attribute type
x509	OID_X509_COMMON_NAME	2.5.4.3	commonName	Common Name
x509	OID_X509_SURNAME	2.5.4.4	surname	Surname
x509	OID_X509_COUNTRY_NAME	2.5.4.6	countryName	Country Name
x509	OID_X509_STATE_OR_PROVINCE_NAME	2.5.4.8	stateOrProvinceName	State or Province name
x509	OID_X509_STREET_ADDRESS	2.5.4.9	streetAddress	Street Address
x509	OID_X509_ORGANIZATION_NAME	2.5.4.10	organizationName	Organization Name
x509	OID_X509_ORGANIZATIONAL_UNIT	2.5.4.11	organizationalUnit	Organizational Unit
x509	OID_X509_TITLE	2.5.4.12	title	Title
x509	OID_X509_DESCRIPTION	2.5.4.13	description	Description

x509	OID_DOMAIN_COMPONENT	0.9.2342.19200300.100.1.25	domainComponent	Domain component
